request_time,begintrip_time,begintrip_latitude,begintrip_longitude,dropoff_time,dropoff_latitude,dropoff_longitude,status,currency,fare_profile,fare,distance,duration,surge_multiplier
2015-12-14 13:18:12,2015-12-14 13:22:21,46.1983096,6.1550893,2015-12-14 13:30:23,46.1882098,6.1581419,completed,CHF,uberX,12.04,1.36,8.05,1.0
2015-12-14 13:32:24,2015-12-14 13:38:47,46.1969496,6.1640165,2015-12-14 13:59:21,46.2303493,6.1086654,completed,CHF,uberX,32.86,5.83,20.5833333333,1.0
2015-12-14 6:29:54,2015-12-14 6:35:10,46.1959441,6.165777,2015-12-14 6:56:53,46.2307971,6.109308,completed,CHF,uberX,33.99,6.02,21.7333333333,1.0
2015-12-14 6:58:41,2015-12-14 7:12:20,46.1855107,6.1102205,2015-12-14 7:28:33,46.1976822,6.154273,completed,CHF,uberX,20.49,2.83,16.2,1.0
2015-12-14 7:28:38,2015-12-14 7:41:05,46.1989375,6.1342793,2015-12-14 8:00:18,46.2307706,6.1092464,completed,CHF,uberX,28.03,4.62,19.2166666667,1.0
2015-12-14 8:02:58,2015-12-14 8:04:03,46.2249509,6.1068143,2015-12-14 8:20:23,46.233499,6.1351405,completed,CHF,uberX,17.85,2.07,16.3333333333,1.0
2015-12-14 8:37:11,2015-12-14 8:46:25,46.2055853,6.1410088,2015-12-14 9:03:54,46.239045,6.1222375,completed,CHF,uberX,27.44,4.65,17.4666666667,1.0
2015-12-14 9:20:45,2015-12-14 9:26:19,46.2302133,6.1084512,2015-12-14 9:41:04,46.169826,6.1112353,completed,CHF,uberX,28.76,5.33,14.75,1.0
2015-12-17 20:00:00,2015-12-17 20:10:12,46.1916507,6.1421266,2015-12-17 20:16:29,46.1960796,6.1512764,completed,CHF,uberX,12.35,0.85,6.26666666667,1.3
2015-12-17 20:23:12,2015-12-17 20:27:39,46.1906665,6.154047,2015-12-17 20:39:55,46.2168676,6.1823383,completed,CHF,uberX,38.0,2.85,12.25,2.0
2015-12-17 20:42:12,2015-12-17 20:45:29,46.2071916,6.1870165,2015-12-17 20:49:34,46.2157399,6.1925533,completed,CHF,uberX,9.46,1.08,4.08333333333,1.0
2015-12-17 20:51:09,,46.2150571,6.1934048,,46.2261039,6.2154908,rider_canceled,CHF,uberX,0.0,,,1.0
2015-12-17 21:05:20,2015-12-17 21:08:54,46.2136128,6.1828159,2015-12-17 21:14:39,46.2061957,6.1622793,completed,CHF,uberX,11.42,1.45,5.75,1.0
2015-12-17 21:23:08,2015-12-17 21:28:59,46.2016202,6.159209,2015-12-17 21:39:44,46.2160056,6.1466471,completed,CHF,uberX,15.22,1.95,10.75,1.0
2015-12-17 21:51:55,2015-12-17 21:55:08,46.2141215,6.1472645,2015-12-17 22:07:49,46.1911127,6.1625961,completed,CHF,uberX,18.94,2.79,12.6833333333,1.0
2015-12-17 22:07:03,2015-12-17 22:10:55,46.1892144,6.1592199,2015-12-17 22:35:37,46.2308036,6.1091995,completed,CHF,uberX,50.46,5.58,24.7,1.5
2015-12-17 22:51:50,,46.2081752,6.1347993,,46.2073153,6.1282479,rider_canceled,CHF,uberX,0.0,,,1.0
2015-12-17 22:55:37,2015-12-17 23:05:49,46.2110598,6.1114117,2015-12-17 23:14:36,46.2123279,6.1448986,completed,CHF,uberX,14.43,1.95,8.8,1.0
2015-12-17 23:26:53,,46.2089565,6.1427585,,46.2083794,6.1420851,rider_canceled,CHF,uberX,0.0,,,1.0
2015-12-17 23:30:35,2015-12-17 23:32:31,46.2038783,6.1378607,2015-12-17 23:46:28,46.2250262,6.1038386,completed,CHF,uberX,20.23,3.01,13.95,1.0
2015-12-17 23:48:58,2015-12-17 23:58:40,46.2101124,6.1373798,2015-12-18 0:11:54,46.2036674,6.1845171,completed,CHF,uberX,26.73,3.18,13.25,1.3
2015-12-18 0:16:51,2015-12-18 0:24:51,46.2339176,6.1918987,2015-12-18 0:38:53,46.211717,6.2330384,completed,CHF,uberX,23.97,4.06,14.0333333333,1.0
2015-12-18 1:25:57,2015-12-18 1:33:35,46.1986041,6.1376167,2015-12-18 1:44:02,46.2061114,6.1838714,completed,CHF,uberX,37.14,2.93,10.45,2.0
